Dénomination,Regroupement,Type,Libellé,Adresse,Code Postal,Ville,Pays,Longitude,Latitude,Rayon(m)
BFCI,,Client / Chantier,Client,COUR DES JUMELLES,27380,FLEURY SUR ANDELLE,FRA,1.3529,49.358,220
BFC - USINE DE BELLOU,,Client / Chantier,Client,11 RUE DE L'HUISNE,61110,BELLOU-SUR-HUISNEFRANCE(À 0.05 KM),FRA,0.7661,48.4255,220
BIDAULT GUILLAUME,,Client / Chantier,Client,"523, RUE DE COCHEREL",27000,ÉVREUX,FRA,1.1802,49.0213,220
Bien-être & Confort,,Client / Chantier,Client,AVENUE DE LA STÈLE,14740,BRETTEVILLE-L'ORGUEILLEUSE,FRA,-0.5144,49.207,220
BIGARD,,Client / Chantier,Client,RUE DE GAILLEFONTAINE,60220,FORMERIE,FRA,1.7194,49.6504,220
BIGDRONKA NETTO,,Client / Chantier,Client,RUE DE VERNON,27620,GASNY,FRA,1.5988,49.0891,220
Bigmat  Bezu st éloi,,Client / Chantier,Client,,27660,Bézu-Saint-Éloi,FRA,1.68985,49.29552,-1
BIGMAT MATERIAUX,,Client / Chantier,Client,BATIMENT LES PORTES 944D RUE DE COCHEREL,27000,EVREUX,FRA,0.0,0.0,220
BIGMAT THOMAS,,Client / Chantier,Client,ROUTE DE LA VIERGE,27660,BÉZU-SAINT-ÉLOI,FRA,1.69008,49.29618,-1
BIGOT,,Client / Chantier,Client,HAMEAU DE LOEUILLY,76850,ETAIMPUIS,FRA,0.0,0.0,220
BIOCER,,Client / Chantier,Client,FERME DE GROHAN,27180,LE PLESSIS GROHAN,FRA,1.1191,48.9342,220
BIRRE DECO,,Client / Chantier,Client,1 Rue des Chaumes,27950,Saint-Marcel,FRA,1.45466,49.10034,0
BISCHOF,,Client / Chantier,Client,RUE DES PAPETIERS,27500,PONT-AUDEMER,FRA,0.5078,49.35582,-1
BISCHOF + KLEIN FRANCE,,Client / Chantier,Client,15 RUE DES PAPETIERS,27500,PONT AUDEMER,FRA,0.5077,49.3579,220
Biscuiterie de l'Abbaye,,Client / Chantier,Client,RUE DOUANIER ROUSSEAU,53500,ERNÉE,FRA,-0.9236,48.2986,220
Biscuiterie de l'Abbaye,,Client / Chantier,Client,LA LANDE DU MOULIN,61700,LONLAY-L'ABBAYEFRANCE(À 0.2 KM),FRA,-0.714,48.6414,220
Biscuiterie Jeannette,,Bureau / Dépôt,Bureau,D228,14840,Démouville,FRA,-0.2647,49.1703,220
BIS FRANCE,,Client / Chantier,Client,ZI ROUXMESNIL,76203,DIEPPE,FRA,0.0,0.0,220
BLAIS,,Client / Chantier,Client,COURS MONTALIVET,14120,MONDEVILLE,FRA,-0.3219,49.1822,220
BLANFUNEY,,Client / Chantier,Client,AVENUE DU COMMANDANT BICHERAY,76000,ROUEN,FRA,1.0569,49.4507,220
BLARD,,Client / Chantier,Client,QUAI DU MASCARET,27500,PONT-AUDEMER,FRA,0.4983,49.36061,-1
Blaye carreau,,Client / Chantier,Client,1 Impasse de la Ferme de la Porte,27350,Rougemontiers,FRA,0.7097,49.3662,220
BLERY,,Client / Chantier,Client,IMPASSE BREVOIE,27240,SYLVAINS LES MOULINS,FRA,0.0,0.0,220
BLET,,Client / Chantier,Client,,76120,LE GRAND-QUEVILLY,FRA,1.0448,49.4183,110
BLET,,Client / Chantier,Client,RUE LAVOISIER,,GRAND QUEVILLY,FRA,1.04499,49.41887,100
BLINI,,Client / Chantier,Client,RUE DES ARTISANS,14670,TROARN,FRA,-0.1876,49.189,220
BLIN MARCEL,,Client / Chantier,Client,523 RUE DE COCHEREL,27000,EVREUX,FRA,1.1805,49.0211,220
BLIN Thomas,,Domicile,Domicile,RUE DES MARRONNIERS,27370,SAINT-MESLIN-DU-BOSC,FRA,0.8839,49.2091,220
BLONDEL Fabien,,Domicile,Domicile,1145 LE BOIS BRANGE,27330,LA HAYE SAINT SYLVESTRE,FRA,0.5944,48.9025,220
BLONDEL ROBERT PRODUCTION,,Client / Chantier,Client,GRANDE RUE,76160,DARNETAL,FRA,1.1495,49.4369,220
BLUZAT,,Client / Chantier,Client,1  AVENUE  DU NORD,50580,DENNEVILLE,FRA,0.0,0.0,220
BLUZAT  JEAN PAUL,,Client / Chantier,Client,4  LE MARAIS,50310,LESTRE,FRA,0.0,0.0,220
BMF,,Client / Chantier,Client,461 RUE DU 11 NOVEMBRE,76650,PETIT COURONNE,FRA,1.0285,49.3819,220
BMI AXELENT,,Client / Chantier,Client,PARC ECO NORMANDIE,76430,SAINT ROMAIN DE COLBOSC,FRA,0.0,0.0,220
BM NORMANDIE,,Client / Chantier,Client,ZI  DE LA POUDRERIE,76350,OISSEL,FRA,0.0,0.0,220
BOCANORM,,Client / Chantier,Client,AVENUE MARECHAL DE LATTRE DE TASSIGNY,27110,LE NEUBOURG,FRA,0.915,49.1484,220
BOCQUEL,,Client / Chantier,Client,HAMEAU ANTIVILLE,76110,GRAINVILLE YMAUVILLE,FRA,0.0,0.0,220
BOCQUET BENJAMIN,,Domicile,Domicile,176 Rue de l'École,76680,Bradiancourt,FRA,1.38679,49.65517,220
BOE MENUISERIE CHARPENTE,,Client / Chantier,Client,38  RUE DU TOST,76260,BAROMESNIL,FRA,0.0,0.0,220
BOILEAU,,Client / Chantier,Client,RUELLE SEMICHON,76260,EU,FRA,1.4262,50.0538,220
BOIS DE LA BALTIQUE,,Client / Chantier,Client,BOULEVARD DE LA REPUBLIQUE,76400,FECAMP,FRA,0.38,49.759,220
BOLAIDOR,,Client / Chantier,Client,LE POIRIER,61220,SAINT HILAIRE DE BRIOUZE,FRA,-0.3298,48.7008,220
BOLLE BAOBAB,,Client / Chantier,Client,RUE DU VILLAGE,76260,ETALONDES,FRA,0.0,0.0,220
BOLLORE,,Client / Chantier,Client,ROUTE DE LA BRÈCHE AUX LOUPS,27340,CRIQUEBEUF-SUR-SEINEFRANCE(À 0.343 KM),FRA,0.0,0.0,220
BOLLORE,,Client / Chantier,Client,,27340,Criquebeuf-sur-Seine,FRA,1.10231,49.29774,2
BOLLORE,,Client / Chantier,Client,Route de la Brèche aux Loups,27340,Criquebeuf-sur-Seine,FRA,1.1035,49.2979,220
BOLLORE 2,,Client / Chantier,Client,,76530,Grand-Couronne,FRA,0.97681,49.34866,0
BOLLORE 3,,Client / Chantier,Client,,76530,Grand-Couronne,FRA,0.97932,49.34924,0
BOLLORE GD COURONNE,,Client / Chantier,Client, Boulevard de l'Île aux Oiseaux,76530,Grand-Couronne,FRA,0.97726,49.348,0
BOLLORE PLPN1,,Client / Chantier,Client,Grand Port Mar. du Havre 4000-5000,76430,Oudalle,FRA,0.2643,49.4748,220
BOLMIN PROFIL,,Client / Chantier,Client,Rue Rolland Garros - ZAC du Long Buisson,27000,ÉVREUX,FRA,0.0,0.0,220
BOMEX,,Client / Chantier,Client,RUE GEORGES LECLANCHE,76330,NOTRE DAME DE GRAVENCHON,FRA,0.5806,49.4846,220
BONAUD,,Client / Chantier,Client,RUE HENRI BECQUEREL,27000,EVREUX,FRA,1.1457,48.9966,220
BONBONS BARNIER,,Client / Chantier,Client,RUE DE LA CHENAIE,76800,SAINT ETIENNE DU ROUVRAY,FRA,1.0774,49.3871,50
Bonfils,,Client / Chantier,Client,8 Rue des Cours Raies,27150,Doudeauville-en-Vexin,FRA,1.5906,49.3277,220
BONNA SABLA,,Client / Chantier,Client,ZI DU MATRAY,14730,GIBERVILLE,FRA,-0.2807,49.1683,220
BONNA SABLA,,Client / Chantier,Client,RUE GILLES POERIER,50580,PORTBAIL,FRA,-1.6888,49.3368,220
BONO ST ETIENNE DU ROUVRAY,,Client / Chantier,Client,2 Chemin Pont la Chapelle,76350,Oissel,FRA,1.10509,49.36309,-1
BOREALIS,,Client / Chantier,Client,BOULEVARD PIERRE BROSSOLETTE,76120,LE GRAND-QUEVILLY,FRA,1.02735,49.41934,2
BOREALIS,,Client / Chantier,Client,10870 - Boulevard Pierre Brossolette,76120,Le Grand-Quevilly,FRA,1.0272,49.4196,220
BOREALIS ENTREE SUD,,Client / Chantier,Client,Rue de l'Industrie,76120,Le Grand-Quevilly,FRA,1.0338,49.42036,-1
BOREALIS-GPN-GD QUEVILLY,,Client / Chantier,Client,,76120,Le Grand-Quevilly,FRA,1.03019,49.42224,-1
BOREALIS-POSTE ACCUEIL SECURITE GD QUEVILLY,,Client / Chantier,Client,Rue de l'Industrie,76120,Le Grand-Quevilly,FRA,1.03037,49.41951,-1
BORFLEX,,Client / Chantier,Client,RUE DE LA BOULAIE,76800,SAINT-ÉTIENNE-DU-ROUVRAY,FRA,1.0793,49.3891,-1
BORIE Guillaume,,Domicile,Domicile,109 Route des Fonds,76560,ANVEVILLE,FRA,0.7374,49.6973,220
BORIE Guillaume,,Domicile,Domicile,ROUTE DES FONDS,76560,ANVÉVILLE,FRA,0.73683,49.69572,-1
BOSCH,,Client / Chantier,Client,75 AVENUE DE LA FORET DE BORD,27340,LES DAMPS,FRA,1.1662,49.3023,220
Bosmy cloture,,Client / Chantier,Client,D11,27430,Andé,FRA,1.2501,49.2367,150
BOSTYN LOGISTIQUE,,Client / Chantier,Client,355 ROUTE DE LA LINERIE,76430,ETAINHUS,FRA,0.0,0.0,220
BOUCHER,,Domicile,Domicile,641 Lieu-dit La Goislardière,61110,Rémalard en Perche,FRA,0.782,48.4369,220
Boucher Grégory,,Domicile,Domicile,D313,61340,PRÉAUX-DU-PERCHE,FRA,0.7036,48.3283,220
BOUCHER Grégory,,Domicile,Domicile,2 AVENUE ALBERT DE MUN,61110,RÉMALARD,FRA,0.7748,48.4314,220
BOUCHER Yannick,,Domicile,Domicile,ROUTE DE SAINT-OUEN,27500,BOUQUELON,FRA,0.5053,49.3973,220
BOUDIN VINCENT,,Client / Chantier,Client,77 RUE DE LA REPUBLIQUE,76190,YVETOT,FRA,0.7414,49.6249,220
BOUE,,Client / Chantier,Client,Z I    LE CARDONNAY,76390,AUMALE,FRA,0.0,0.0,220
BOUILLET Daniel,,Domicile,Domicile,Les Ruettes de Bas,50160,BRECTOUVILLE,FRA,-1.0206,49.0198,220
BOULANGEOT,,Client / Chantier,Client,GRANDE RUE,27360,PONT SAINT PIERRE,FRA,1.2756,49.3335,220
BOULANGEOT,,Client / Chantier,Client,146 Rue Blingue,27610,Romilly-sur-Andelle,FRA,1.27105,49.33223,-1
Boulangeot pont st pierre,,Client / Chantier,Client,174A Grande Rue,27360,Pont-Saint-Pierre,FRA,1.26916,49.33529,-1
BOULANGEOT PVC,,Client / Chantier,Client,70 Rue Blingue,27610,Romilly-sur-Andelle,FRA,1.26891,49.33245,-1
Boulangerie ANGE a coté Del Arte,,Restaurant / Hôtel,Restaurant,104 Rue de l'Île aux Boeufs,76410,Tourville-la-Rivière,FRA,1.09989,49.33122,0
BOULEY,,Client / Chantier,Client,2 RUE GAY LUSSAC,76150,LA VAUPALIERE,FRA,0.0,0.0,220
BOURD ALBERT,,Client / Chantier,Client,LE BINAI,61480,CRULAI,FRA,0.0,0.0,220
BOURGES Fabrice,,Domicile,Domicile,9 RUE DES FAUVETTES,76850,ETAIMPUIS,FRA,1.1583,49.6422,220
BOURGEY MONTREUIL CHIMIE,,Client / Chantier,Client,ETS DE LILLEBONNE,76170,LILLEBONNE,FRA,0.0,0.0,220
BOURSIN,,Client / Chantier,Client,FROMAGERIE,27120,CROISY SUR EURE,FRA,1.3534,49.0251,220
BOURY,,Client / Chantier,Client,RUE DENIS PAPIN,76150,MAROMME,FRA,1.026,49.4818,220
BOUSKILA,,Client / Chantier,Client,9 RUE ARISTIDE RENAULT,14510,HOULGATE,FRA,-0.0733,49.3012,220
BOUTEILLER CLAUDE,,Client / Chantier,Client,,76970,ECTOT LES BAONS,FRA,0.8068,49.6457,220
BOUVART,,Client / Chantier,Client,,27330,SAINT PIERRE DU MESNIL,FRA,0.5877,48.9369,220
BOUYGUES CHEZ LUBRIZOL ROUEN,,Autre,Autre,,76100,Rouen,FRA,1.06288,49.43512,-1
BOUYGUES CONSTRUCTION,,Client / Chantier,Client,25 BOULEVARD GABRIEL PERI,76410,TOURVILLE LA RIVIERE,FRA,1.0751,49.3196,220
BOUYGUES - LES ESSARTS,,Client / Chantier,Client,,76530,Grand-Couronne,FRA,1.01484,49.34246,2
BOUYGUES - LES ESSARTS,,Client / Chantier,Client,2 Rue Léon Blum,76530,Grand-Couronne,FRA,1.0141,49.3641,220
BOUYGUES - LES ESSARTS,,Client / Chantier,Client,Rue de la Scierie,76530,Grand-Couronne,FRA,1.0152,49.3424,220
BOUYGUES LES ESSARTS,,Client / Chantier,Client,2 Rue Léon Blum,76530,Grand-Couronne,FRA,1.0141,49.3641,220
Brangeon,,Client / Chantier,Client,,27600,Gaillon,FRA,1.37737,49.17085,-1
BRANGEON,,Client / Chantier,Client,RUE DE CAEN,14170,SAINT PIERRE SUR DIVES,FRA,-0.0439,49.0265,220
Brangeon Logistique,,Client / Chantier,Client,LIEU-DIT LE MOULIN À VENT,27210,SAINT-MACLOU,FRA,0.40181,49.35485,0
BRASSERIE 2 AMANTS,,Client / Chantier,Client,Voie de l'Ormet,27100,Val-de-Reuil,FRA,1.2321,49.2444,220
BRAY DIFFUSION AUTOMOBILE,,Client / Chantier,Client,RUE DE LA GRANDE FLANDRE,76270,NEUFCHATEL EN BRAY,FRA,1.4347,49.734,220
BREAVOINE MICHEL,,Client / Chantier,Client,ROUTE D HONFLEUR,14130,COUDRAY RABUT,FRA,0.0,0.0,220
Bretagne Manutention,,Autre,Autre, ,35740,Pacé,FRA,-1.76529,48.14561,0
BRETAULT,,Client / Chantier,Client,,76140,Le Petit-Quevilly,FRA,1.05967,49.41875,-1
BRETEAULT NORMANDIE,,Client / Chantier,Client,RUE VERTE,14790,MOUEN,FRA,-0.4785,49.1534,220
BRICO DECO JARDI LECLERC,,Client / Chantier,Client,13 RUE MARECHAL DE LATTRE,27110,LE NEUBOURG,FRA,0.9204,49.147,220
BRICOFER,,Client / Chantier,Client,CHEMIN SAINT CELERIN,27110,LE NEUBOURG,FRA,0.9116,49.1559,220
BRICOMAN,,Client / Chantier,Client,VOIE  DU LONG BUISSON,27930,GUICHAINVILLE,FRA,1.1757,49.0108,220
BRICOMARCHE - MARLEF,,Client / Chantier,Client,BOULEVARD DE L EXPANSION,61200,ARGENTAN,FRA,-0.0287,48.7312,220
BRICOMARCHE PONT-AUDEMER,,Client / Chantier,Client,ROUTE DE BERNAY,27500,PONT AUDEMER,FRA,0.0,0.0,220
Bricomarché st pierre les elbeuf,,Client / Chantier,Client,,76320,Saint-Pierre-lès-Elbeuf,FRA,1.04009,49.28925,-1
BRICORAMA,,Client / Chantier,Client,ROUTE DE PONT DE L ARCHE,76320,SAINT PIERRE LES ELBEUF,FRA,1.0427,49.2904,220
BRICORAMA PT QUEVILLY (DIVERS_2),,Autre,Autre,,76140,Le Petit-Quevilly,FRA,1.06247,49.43445,-1
BRICOSPHERE,,Client / Chantier,Client,185 RUE IRENE JOLIOT CURIE,76600,LE HAVRE,FRA,0.1046,49.5135,220
BRIKAP,,Client / Chantier,Client,AVENUE DU COTY,61600,LA FERTE MACE,FRA,-0.3581,48.5981,220
BRIOT,,Client / Chantier,Client,RUE ROGER BONNET,27340,PONT DE L ARCHE,FRA,1.153,49.3004,220
BRISE DE VENDEE,,Client / Chantier,Client,38 RUE DE L ALMA,76600,LE HAVRE,FRA,0.0981,49.496,220
BRISE MAREE,,Client / Chantier,Client,LE MESNIL CORDELIER,14130,QUETTEVILLE,FRA,0.0,0.0,220
BRISE SARL,,Client / Chantier,Client,6 RUE DES CHAMPS,27170,LE TILLEUL OTHON,FRA,0.0,0.0,220
BRITTANY FERRIES,,Client / Chantier,Client,AVENUE DE NORMANDIE,50100,CHERBOURG,FRA,-1.6249,49.6278,220
BROCELIANDE,,Client / Chantier,Client,RUE DES HAUTS VENTS,14310,VILLERS BOCAGE,FRA,-0.6413,49.0845,220
BROGLIE INDUSTRIE,,Client / Chantier,Client,ROUTE DE BERNAY,27270,BROGLIE,FRA,0.0,0.0,220
BRONZE ALU,,Client / Chantier,Client,ZONE INDUSTRIELLE,27750,LA COUTURE BOUSSEY,FRA,1.3976,48.9043,220
BROSETTE SOTTEVILLES LES ROUEN,,Client / Chantier,Client,,76300,Sotteville-lès-Rouen,FRA,1.11183,49.40238,-1
BROSSETTE,,Client / Chantier,Client,RUE JACQUES MONOD,27000,EVREUX,FRA,1.1812,49.022,220
BROSSETTE IFS,,Client / Chantier,Client,RUE DE ROCQUENCOURT,14123,IFS,FRA,0.0,0.0,220
BROWANG ENTREPRISE,,Client / Chantier,Client,121 VOIE DE SAINT EXUPERY,76430,SAINT ROMAIN DE COLBOSC,FRA,0.0,0.0,220
BRULERIE DU HAVRE DE,,Client / Chantier,Client,GRACE,76080,LE HAVRE,FRA,0.0,0.0,220
BRUN,,Client / Chantier,Client,PLACE DE LA GARE,76340,VILLERS SOUS FOUCARMONT,FRA,1.6264,49.9283,220
BRUN,,Client / Chantier,Client,PLACE DE LA GARE,76340,VILLLERS SOUS FOURCARMONT,FRA,1.5673,49.8377,220
BRUN,,Client / Chantier,Client,D16,76340,VILLERS-SOUS-FOUCARMONT,FRA,0.0,0.0,220
Brunel,,Client / Chantier,Client,4 Rue du Prenatier,27140,Gisors,FRA,1.7829,49.2797,220
BRUNET ALAIN,,Client / Chantier,Client,183 ALLEE DE LA GEVRINE,76230,BOIS GUILLAUME,FRA,1.1182,49.4808,220
BT FRANCE,,Client / Chantier,Client,RUE GEORGES MELIES,76300,SOTTEVILLE LES ROUEN,FRA,1.1144,49.4009,220
BTP CFA GEORGES LANFRY,,Client / Chantier,Client,28 RUE BLAISE PASCAL,76000,ROUEN,FRA,1.0814,49.4294,220
BTP CFA LE HAVRE BAIE DE SEINE,,Client / Chantier,Client,IMPASSE HENRI MATISSE,76290,MONTIVILLIERS,FRA,0.1764,49.5542,220
BUFALO ST ETIENNE (DIVERS_2),,Autre,Autre,,76800,Saint-Étienne-du-Rouvray,FRA,1.10492,49.36676,-1
BULTEL Bruno,,Domicile,Domicile,1O CHEMIN VALLéE GALANTINE,76520,QUEVREVILLE LA POTERIE,FRA,0.0,0.0,220
BUNEL FRERES,,Client / Chantier,Client,RN 13,14630,CAGNY,FRA,0.0,0.0,220
BUQUET CHANTAL,,Client / Chantier,Client,36  RUE DU PORT,50480,CARQUEBUT,FRA,0.0,0.0,220
BUREAU SAINT ETIENNE,,Bureau / Dépôt,Bureau,RUE DU NOYER DES BOUTTIÈRES,76800,SAINT-ÉTIENNE-DU-ROUVRAY,FRA,1.0936,49.369,220
BURODOC,,Client / Chantier,Client,2 RUE RICHARD WADDINGTON,76160,DARNETAL,FRA,1.1458,49.4355,220
BUTAGAZ,,Client / Chantier,Client,RUE D AUNAY,14500,VIRE,FRA,-0.8655,48.8504,220
C2J LOISIRS,,Client / Chantier,Client,Z A  VIREY,50600,SAINT HILAIRE DU HARCOUET,FRA,-1.1307,48.5873,220
CABELEC,,Client / Chantier,Client,8 RUE JACQUARD,27000,EVREUX,FRA,1.1418,49.0019,220
CADIAC,,Client / Chantier,Client,RUE DES FRERES LUMIERE,14540,GRENTHEVILLE,FRA,0.0,0.0,220
CADIAC,,Client / Chantier,Client,ROUTE DE TILLY,14400,BAYEUX,FRA,-0.6957,49.2688,220
CADOT,,Client / Chantier,Client,166 AVENUE JEAN LAGARRIGUE,76530,LES ESSARTS,FRA,1.0146,49.3395,220
CADRE,,Client / Chantier,Client,ZA DU BOIS NICOLAS,76370,SAINT MARTIN EN CAMPAGNE,FRA,0.0,0.0,220
CAENAL SUPER U,,Client / Chantier,Client,231 RUE ROBERT KASKOREFF,14000,CAEN,FRA,-0.4072,49.1872,220
CAEN FLUID SERVICE,,Client / Chantier,Client,24 AVENUE DE GORBSEN,14201,HEROUVILLE SAINT CLAIR,FRA,0.0,0.0,220
CAEN LA MER COMMUNAUTE,,Client / Chantier,Client,21 PLACE DE LA REPUBLIQUE,14000,CAEN,FRA,-0.3631,49.1818,220
CAEN LA MER COMMUNAUTE,,Client / Chantier,Client,D AGGLOMERATION,14120,MONDEVILLE,FRA,0.0,0.0,220
CAEN PALETTES RECYCLAGE,,Client / Chantier,Client,RN 158,14540,SAINT AIGNAN DE CRAMESNIL,FRA,-0.2976,49.0788,220
CAFES RICHARD NORMANDIE,,Client / Chantier,Client,RUE DES FRERES LUMIERE,27130,VERNEUIL SUR AVRE,FRA,0.9243,48.7452,220
CAFE SUPER U TOTES,,Restaurant / Hôtel,Restaurant,Allée des Seringats,76890,Tôtes,FRA,1.04537,49.68126,0
CAHN,,Client / Chantier,Client,,76130,MONT SAINT AIGNAN,FRA,1.0806,49.4667,220
CAILLARD,,Client / Chantier,Client,,76600,LE HAVRE,FRA,0.1318,49.4959,220
CAILLEBOTIS DIAMOND,,Client / Chantier,Client,Z I,14101,LISIEUX,FRA,0.0,0.0,220
CAILLEBOTIS DIAMOND,,Bureau / Dépôt,Bureau,Boulevard Jean-Charles Contel,14100,Glos,FRA,0.306,49.1434,220
CAILLEBOTTE GAETAN,,Domicile,Domicile,AVENUE DE LA VALEUSE,14200,HÉROUVILLE-SAINT-CLAIR,FRA,-0.335,49.204,220
CAILLET Pascal,,Domicile,Domicile,La Lande Godard,50500,MEAUTIS,FRA,-1.2897,49.2829,220
CAILLOU Gregory,,Domicile,Domicile,"30, ROUTE DE TURRETOT",76280,CRIQUETOT-L'ESNEVAL,FRA,0.2627,49.638,220
CAISSE D EPARGNE,,Client / Chantier,Client,7 RUE COLONEL GILBERT RENA REMY,14000,CAEN,FRA,-0.3882,49.2026,220
CAISSE PRIMAIRE,,Client / Chantier,Client,222 BOULEVARD DE STRASBOURG,76600,LE HAVRE,FRA,0.1224,49.4922,220
CALBERSON,,Client / Chantier,Client,,76800,Saint-Étienne-du-Rouvray,FRA,1.11204,49.38699,-1
CALBERSON NORMANDIE,,Client / Chantier,Client,RUE JEAN MONNET,27000,EVREUX,FRA,1.1834,49.0307,220
CALF AGRI,,Client / Chantier,Client,Rue du Lin ZA du ressault,27110,LE NEUBOURG,FRA,0.0,0.0,220
CALIMAT,,Client / Chantier,Client,358 Rue de l'Ancienne Sucrerie,76890,Saint-Denis-sur-Scie,FRA,1.0976,49.7131,100
CALISTE MARQUIS,,Client / Chantier,Client,,27250,AMBENAY,FRA,0.7184,48.8304,220
CAMBIER CAM S TRANS,,Client / Chantier,Client,CHEMIN DE L EGLISE,14740,SECQUEVILLE EN BESSIN,FRA,0.0,0.0,220
CAMPING DE L ERMITAGE,,Client / Chantier,Client,RUE ERMITAGE,50350,DONVILLE LES BAINS,FRA,0.0,0.0,220
CAMUSET PLASTIQUE,,Client / Chantier,Client,6  BIS RUE FERME SORAN,76170,AUBERVILLE LA CAMPAGNE,FRA,0.0,0.0,220
CANIGROS,,Client / Chantier,Client,LA CALVERIE,14240,LIVRY,FRA,-0.7481,49.1228,220
Canil,,Client / Chantier,Client,"182, RUE DE LA GARE",76320,SAINT-PIERRE-LÈS-ELBEUF,FRA,1.0377,49.27207,-1
CANIL,,Client / Chantier,Client,13 RUE DE L OISON,27370,SAINT AMAND DES HAUTES TERRE,FRA,0.0,0.0,220
CANISY CONTINU,,Client / Chantier,Client,RUE DE CARBONNEL,50860,CANISYFRANCE(À 0.05 KM),FRA,-1.1595,49.0795,220
CANISY CONTINU,,Client / Chantier,Client,Z A,50750,CANISY,FRA,0.0,0.0,220
CANON FRANCE,,Client / Chantier,Client,ZI DU PLATEAU,14600,HONFLEUR,FRA,0.0,0.0,220
CANTAIS ENTREPOTS,,Client / Chantier,Client,AVENUE DU GENERAL DE GAULLE,76430,SAINT ROMAIN DE COLBOSC,FRA,0.3621,49.5263,220
CANTILLANA,,Client / Chantier,Client,RUE DES CINQ FRERES ROBINET,61600,LA FERTE MACE,FRA,-0.3585,48.5862,220
CANU AIR,,Client / Chantier,Client,AERODROME D YVETOT,76190,YVETOT,FRA,0.0,0.0,220
CANU ALAIN,,Client / Chantier,Client,204  CHEMIN DES PETITES,76550,HAUTOT SUR MER,FRA,0.0,0.0,220
CAOUTCHOU MODERNE,,Client / Chantier,Client,,,,FRA,0.0,0.0,220
CAOUTCHOU MODERNE,,Client / Chantier,Client,RUE DE L EPINOY,80220,GAMACHES,FRA,1.5687,49.9779,220
CAP FIRST STOP,,Fournisseur,Fournisseur,"1592, BOULEVARD DE NORMANDIE",76360,BARENTIN,FRA,0.96831,49.53312,-1
CAPNOR,,Client / Chantier,Client,ROUTE D AVRANCHES,50800,VILLEDIEU LES POELES,FRA,-1.2334,48.8286,220
CAP PNEUS/FIRSTSTOP,,Fournisseur,Fournisseur,Chemin de la Mi Voie,76300,Sotteville-lès-Rouen,FRA,1.11492,49.40258,0
CAP PNEUS TOURVILLE LA RIVIERE (DIVERS_2),,Autre,Autre,,76410,Tourville-la-Rivière,FRA,1.09396,49.32978,-1
CAPRON Christophe,,Domicile,Domicile,RUE DE LA PAIX,76250,DEVILLE LES ROUEN,FRA,1.0464,49.4718,220
CAPS,,Client / Chantier,Client,141 RUE DE BAYEUX,14000,CAEN,FRA,-0.3855,49.1832,220
CAP SEINE LOISIR VERT,,Client / Chantier,Client,13 IMPASSE DE LA PLAINE,76750,VIEUX-MANOIR,FRA,1.2768,49.5584,220
CAP VERT - VIVE LE JARDIN,,Client / Chantier,Client,RUE DU BOIS ARDENT,50000,SAINT LO,FRA,-1.085,49.1046,220
CARAL,,Client / Chantier,Client,5  RUE DU FOND DU VAL,27600,GAILLON,FRA,1.3653,49.1534,220
CARBON DECOR,,Client / Chantier,Client,RUE MARCEL GAMOT,76200,DIEPPE,FRA,1.0868,49.9134,220
CARDUTOT SUPERMARC   CHAMPION,,Client / Chantier,Client,ROUTE DE VALMONT,76110,GODERVILLE,FRA,0.0,0.0,220
CARE,,Client / Chantier,Client,,76600,LE HAVRE,FRA,0.1318,49.4959,220
CARE,,Client / Chantier,Client,ROUTE DE LA PLAINE,76700,ROGERVILLE,FRA,0.24518,49.47614,-1
CARGILL,,Client / Chantier,Client,Avenue Philippe Lebon,76120,Le Grand-Quevilly,FRA,1.02952,49.40314,-1
CARPENTIER Mickael,,Domicile,Domicile,174 ALLEES DES CHAMPS,76116,SERVAVILLE SALMONVILLE,FRA,1.27011,49.4709,-1
CARPENTIER Mickaël,,Domicile,Domicile,174 ALLÉE DES CHAMPS,76116,SERVAVILLE SALMONVILLE,FRA,1.2702,49.4708,220
CARPIQUET PALETTES,,Client / Chantier,Client,RUE DES MONTS PANNEAUX,14650,CARPIQUET,FRA,-0.4437,49.1925,220
CARREFOUR,,Client / Chantier,Client,ROUTE DE BRETAGNE,61250,CONDE SUR SARTHE,FRA,0.0,0.0,220
CARREFOUR BARENTIN (DIVERS_2),,Autre,Autre,Rue du 19 Mars 1962,76360,Barentin,FRA,0.96762,49.53574,-1
Carrefour Contact,,Client / Chantier,Client,CHEMIN COUR PERRON,14250,TILLY-SUR-SEULLES,FRA,-0.6233,49.178,220
CARREFOUR HYPERMARCHES,,Client / Chantier,Client,BOULEVARD DU VAL,14200,HEROUVILLE SAINT CLAIR,FRA,-0.3291,49.2074,220
CARREFOUR HYPERMARCHES,,Client / Chantier,Client,ROUTE DE PARIS,27000,EVREUX,FRA,1.1783,49.0155,220
CARREFOUR HYPERMARCHES,,Client / Chantier,Client,CENTRE  COMMERCIAL,76210,GRUCHET LE VALASSE,FRA,0.0,0.0,220
CARREFOUR MARKET,,Client / Chantier,Client,RUE DES FORGES,76850,BOSC LE HARD,FRA,0.0,0.0,220
CARRELAGES 4000,,Client / Chantier,Client,21 RUE DE COCHEREL,27000,EVREUX,FRA,1.1735,49.0229,220
CARRIER,,Client / Chantier,Client,CARRIER,27000,CRIQUEBEUF,FRA,1.10671,49.29603,-1
